tweet,date,query,replies,reposts,likes,bookmarks,views
"if fascist democrats are so afraid of gun violence, why dont they wear fake bullet proof vests to match their fake cloth masks?",2022-05-23 04:59:13,gun violence,0,2,8,0,0
sure looks like taking the guns off of hunters and recreational shooters has really curbed gun violence :face_with_rolling_eyes:,2022-05-23 04:58:56,gun violence,1,0,3,0,0
oh thats probably a huge bit too. her son was killed by gun violence and everytown was big for her in her first run,2022-05-23 04:57:01,gun violence,0,0,2,0,0
"we lament the senseless gun violence that rains down on our nation, but tonight, god, specifically newberry. be with the students. the teachers. the mothers. the fathers. the siblings. the ones who love their babies as if they are their own.",2022-05-23 04:55:14,gun violence,2,0,2,0,0
"scalia?? can i have the second amendment for james gills paycheck, please, alex why so much gun violence in louisiana? lets consult the experts at harvard. | columnist james gill |",2022-05-23 04:53:38,gun violence,0,0,0,0,0
"if people used dynamite instead of guns, wed never say, lets give everyone dynamite. people like this believe, thru a false sense of bravado, theyre better shots, tougher, & smarter than everyone else. the only thing that will reduce gun violence is reducing access to guns.",2022-05-23 04:53:09,gun violence,1,0,1,0,0
and what about that tsunami of black on black gun violence happening everywhere?..,2022-05-23 04:51:47,gun violence,0,0,0,0,0
stop acting like throwing a fit online is gonna help gun violence and instead getting off your ass and seeing how you can actually help <333 (2/2),2022-05-23 04:50:54,gun violence,0,0,0,0,0
graduations marred by shootings sign of continuing gun violence in america  abc news,2022-05-23 04:50:16,gun violence,0,0,0,0,0
"shes gonna make georgia #1 in gun violence, hiv, and uninsured people?? seems like a strange goal to want more of that. but what do i know? im just a straight, white, male veteran. so im the devil",2022-05-23 04:49:09,gun violence,0,0,0,0,0
its gonna take gun owners to help solve this gun violence issue its gonna take white men to help solve this racism issue,2022-05-23 04:48:00,gun violence,0,0,1,0,0
"and most importantly, it gets the formula to those who need it now. remember, the babies? or do you, like most republicans, only have concerns for babies when they are in utero? cause you definitely dont give a shit about them when it comes to gun violence. @fred_guttenberg :red_heart:",2022-05-23 04:47:37,gun violence,0,0,0,0,0
"dear u.s g.o.p senators, if you dont know who the red shirts are you will find out at the poles in november.they are the woman (and men) that walk to end gun violence, that write letters, that call your offices and burn up the text lines.they are to be reckoned with. watch out!",2022-05-23 04:47:35,gun violence,1,3,9,0,0
not only for money. people of color were massacred died and injured fueled by @foxnews tuckercarlson etc @gop @nra supporting no gun laws. everyday theres gun violence/ shooting in america more than any countries in the world mostly by these radical right white supremacists wm,2022-05-23 04:47:22,gun violence,0,0,1,0,0
and yet another tragic moment luckily no deaths but republicans wont do anything about guns/gun violence,2022-05-23 04:47:20,gun violence,0,0,0,0,0
youre right about the second part. guns arent causing gun violence.,2022-05-23 04:47:17,gun violence,0,0,0,0,0
why dont you donate to mental health resources or do something else to actually prevent gun violence instead of looking for brownie points?,2022-05-23 04:46:45,gun violence,1,0,2,0,0
"almost 21,000 gun violence deaths (homicides) in the us last year. theres no exaggeration there. i havent pointed that to any particular area, nor do i care. 5 mass shooting events in different areas of the country in the last 10 days alone. thats not exaggerated.",2022-05-23 04:46:21,gun violence,1,0,0,0,0
"i will give you one, which happened, unfortunately, very recently: the buffalo mass murderer, and the scourge of gun violence in america.",2022-05-23 04:46:14,gun violence,0,0,0,0,0
